"tick","consumer","Potential"
1.0,99,100
2.0,99,100
3.0,99,100
4.0,99,100
5.0,99,100
6.0,99,100
7.0,99,100
8.0,99,100
9.0,99,100
10.0,99,100
11.0,99,100
12.0,99,100
13.0,99,100
14.0,99,100
15.0,99,100
16.0,99,100
17.0,99,100
18.0,99,100
19.0,99,100
20.0,99,100
21.0,99,100
22.0,99,100
23.0,99,100
24.0,99,100
25.0,99,100
26.0,99,100
27.0,99,100
28.0,99,100
29.0,99,100
30.0,99,100
31.0,99,100
32.0,99,100
33.0,99,100
34.0,99,100
35.0,99,100
36.0,99,100
37.0,99,100
38.0,99,100
39.0,99,100
40.0,99,100
41.0,99,100
42.0,99,100
43.0,99,100
44.0,99,100
45.0,99,100
46.0,99,100
47.0,99,100
48.0,99,100
49.0,99,100
50.0,99,100
51.0,99,100
52.0,99,100
53.0,99,100
54.0,99,100
55.0,99,100
56.0,99,100
57.0,99,100
58.0,99,100
59.0,99,100
60.0,99,100
61.0,99,100
62.0,99,100
63.0,99,100
64.0,99,100
65.0,99,100
66.0,99,100
67.0,99,100
68.0,99,100
69.0,99,100
70.0,99,100
71.0,99,100
72.0,99,100
73.0,99,100
74.0,99,100
75.0,99,100
76.0,99,100
77.0,99,100
78.0,99,100
79.0,99,100
80.0,99,100
81.0,99,100
82.0,99,100
83.0,99,100
84.0,99,100
85.0,99,100
86.0,99,100
87.0,99,100
88.0,99,100
89.0,99,100
90.0,99,100
91.0,99,100
92.0,99,100
93.0,99,100
94.0,99,100
95.0,99,100
96.0,99,100
97.0,99,100
98.0,99,100
99.0,99,100
100.0,99,100
101.0,101,98
102.0,104,95
103.0,108,91
104.0,108,91
105.0,111,88
106.0,111,88
107.0,114,85
108.0,115,84
109.0,116,83
110.0,117,82
111.0,118,81
112.0,120,79
113.0,122,77
114.0,126,73
115.0,129,70
116.0,132,67
117.0,135,64
118.0,135,64
119.0,138,61
120.0,139,60
121.0,141,58
122.0,144,55
123.0,147,52
124.0,149,50
125.0,150,49
126.0,151,48
127.0,151,48
128.0,151,48
129.0,155,44
130.0,158,41
131.0,160,39
132.0,163,36
133.0,167,32
134.0,168,31
135.0,172,27
136.0,173,26
137.0,173,26
138.0,174,25
139.0,174,25
140.0,176,23
141.0,177,22
142.0,178,21
143.0,178,21
144.0,180,19
145.0,180,19
146.0,181,18
147.0,182,17
148.0,182,17
149.0,185,14
150.0,185,14
151.0,186,13
152.0,186,13
153.0,186,13
154.0,188,11
155.0,188,11
156.0,188,11
157.0,188,11
158.0,190,9
159.0,190,9
160.0,190,9
161.0,190,9
162.0,193,6
163.0,193,6
164.0,193,6
165.0,193,6
166.0,196,3
167.0,197,2
168.0,197,2
169.0,197,2
170.0,197,2
171.0,197,2
172.0,198,1
173.0,199,0
174.0,199,0
175.0,199,0
176.0,199,0
177.0,199,0
178.0,199,0
179.0,199,0
180.0,199,0
181.0,199,0
182.0,199,0
183.0,199,0
184.0,199,0
185.0,199,0
186.0,199,0
187.0,199,0
188.0,199,0
189.0,199,0
190.0,199,0
191.0,199,0
192.0,199,0
193.0,199,0
194.0,199,0
195.0,199,0
196.0,199,0
197.0,199,0
198.0,199,0
199.0,199,0
200.0,199,0
201.0,199,0
202.0,199,0
203.0,199,0
204.0,199,0
205.0,199,0
206.0,199,0
207.0,199,0
208.0,199,0
209.0,199,0
210.0,199,0
211.0,199,0
212.0,199,0
213.0,199,0
214.0,199,0
215.0,199,0
216.0,199,0
217.0,199,0
218.0,199,0
219.0,199,0
220.0,199,0
221.0,199,0
222.0,199,0
223.0,199,0
224.0,199,0
225.0,199,0
226.0,199,0
227.0,199,0
228.0,199,0
229.0,199,0
230.0,199,0
231.0,199,0
232.0,199,0
233.0,199,0
234.0,199,0
235.0,199,0
236.0,199,0
237.0,199,0
238.0,199,0
239.0,199,0
240.0,199,0
241.0,199,0
242.0,199,0
243.0,199,0
244.0,199,0
245.0,199,0
246.0,199,0
247.0,199,0
248.0,199,0
249.0,199,0
250.0,199,0
251.0,199,0
252.0,199,0
253.0,199,0
254.0,199,0
255.0,199,0
256.0,199,0
257.0,199,0
258.0,199,0
259.0,199,0
260.0,199,0
261.0,199,0
262.0,199,0
263.0,199,0
264.0,199,0
265.0,199,0
266.0,199,0
267.0,199,0
268.0,199,0
269.0,199,0
270.0,199,0
271.0,199,0
272.0,199,0
273.0,199,0
274.0,199,0
275.0,199,0
276.0,199,0
277.0,199,0
278.0,199,0
279.0,199,0
280.0,199,0
281.0,199,0
282.0,199,0
283.0,199,0
284.0,199,0
285.0,199,0
286.0,199,0
287.0,199,0
288.0,199,0
289.0,199,0
290.0,199,0
291.0,199,0
292.0,199,0
293.0,199,0
294.0,199,0
295.0,199,0
296.0,199,0
297.0,199,0
298.0,199,0
299.0,199,0
300.0,199,0
