"tick","consumer","Potential"
1.0,99,100
2.0,99,100
3.0,99,100
4.0,99,100
5.0,99,100
6.0,99,100
7.0,99,100
8.0,99,100
9.0,99,100
10.0,99,100
11.0,99,100
12.0,99,100
13.0,99,100
14.0,99,100
15.0,99,100
16.0,99,100
17.0,99,100
18.0,99,100
19.0,99,100
20.0,99,100
21.0,99,100
22.0,99,100
23.0,99,100
24.0,99,100
25.0,99,100
26.0,99,100
27.0,99,100
28.0,99,100
29.0,99,100
30.0,99,100
31.0,99,100
32.0,99,100
33.0,99,100
34.0,99,100
35.0,99,100
36.0,99,100
37.0,99,100
38.0,99,100
39.0,99,100
40.0,99,100
41.0,99,100
42.0,99,100
43.0,99,100
44.0,99,100
45.0,99,100
46.0,99,100
47.0,99,100
48.0,99,100
49.0,99,100
50.0,99,100
51.0,99,100
52.0,99,100
53.0,99,100
54.0,99,100
55.0,99,100
56.0,99,100
57.0,99,100
58.0,99,100
59.0,99,100
60.0,99,100
61.0,99,100
62.0,99,100
63.0,99,100
64.0,99,100
65.0,99,100
66.0,99,100
67.0,99,100
68.0,99,100
69.0,99,100
70.0,99,100
71.0,99,100
72.0,99,100
73.0,99,100
74.0,99,100
75.0,99,100
76.0,99,100
77.0,99,100
78.0,99,100
79.0,99,100
80.0,99,100
81.0,99,100
82.0,99,100
83.0,99,100
84.0,99,100
85.0,99,100
86.0,99,100
87.0,99,100
88.0,99,100
89.0,99,100
90.0,99,100
91.0,99,100
92.0,99,100
93.0,99,100
94.0,99,100
95.0,99,100
96.0,99,100
97.0,99,100
98.0,99,100
99.0,99,100
100.0,99,100
101.0,99,100
102.0,99,100
103.0,99,100
104.0,99,100
105.0,99,100
106.0,99,100
107.0,99,100
108.0,99,100
109.0,99,100
110.0,99,100
111.0,99,100
112.0,99,100
113.0,99,100
114.0,99,100
115.0,99,100
116.0,99,100
117.0,99,100
118.0,99,100
119.0,99,100
120.0,99,100
121.0,99,100
122.0,99,100
123.0,99,100
124.0,99,100
125.0,99,100
126.0,99,100
127.0,99,100
128.0,99,100
129.0,99,100
130.0,99,100
131.0,99,100
132.0,99,100
133.0,99,100
134.0,99,100
135.0,99,100
136.0,99,100
137.0,99,100
138.0,99,100
139.0,99,100
140.0,99,100
141.0,99,100
142.0,99,100
143.0,99,100
144.0,99,100
145.0,99,100
146.0,99,100
147.0,99,100
148.0,99,100
149.0,99,100
150.0,99,100
151.0,99,100
152.0,99,100
153.0,99,100
154.0,99,100
155.0,99,100
156.0,99,100
157.0,99,100
158.0,99,100
159.0,99,100
160.0,99,100
161.0,99,100
162.0,99,100
163.0,99,100
164.0,99,100
165.0,99,100
166.0,99,100
167.0,99,100
168.0,99,100
169.0,99,100
170.0,99,100
171.0,99,100
172.0,99,100
173.0,99,100
174.0,99,100
175.0,99,100
176.0,99,100
177.0,99,100
178.0,99,100
179.0,99,100
180.0,99,100
181.0,99,100
182.0,99,100
183.0,99,100
184.0,99,100
185.0,99,100
186.0,99,100
187.0,99,100
188.0,99,100
189.0,99,100
190.0,99,100
191.0,99,100
192.0,99,100
193.0,99,100
194.0,99,100
195.0,99,100
196.0,99,100
197.0,99,100
198.0,99,100
199.0,99,100
200.0,99,100
201.0,99,100
202.0,99,100
203.0,99,100
204.0,99,100
205.0,99,100
206.0,99,100
207.0,99,100
208.0,99,100
209.0,99,100
210.0,99,100
211.0,99,100
212.0,99,100
213.0,99,100
214.0,99,100
215.0,99,100
216.0,99,100
217.0,99,100
218.0,99,100
219.0,99,100
220.0,99,100
221.0,99,100
222.0,99,100
223.0,99,100
224.0,99,100
225.0,99,100
226.0,99,100
227.0,99,100
228.0,99,100
229.0,99,100
230.0,99,100
231.0,99,100
232.0,99,100
233.0,99,100
234.0,99,100
235.0,99,100
236.0,99,100
237.0,99,100
238.0,99,100
239.0,99,100
240.0,99,100
241.0,99,100
242.0,99,100
243.0,99,100
244.0,99,100
245.0,99,100
246.0,99,100
247.0,99,100
248.0,99,100
249.0,99,100
250.0,99,100
251.0,99,100
252.0,99,100
253.0,99,100
254.0,99,100
255.0,99,100
256.0,99,100
257.0,99,100
258.0,99,100
259.0,99,100
260.0,99,100
261.0,99,100
262.0,99,100
263.0,99,100
264.0,99,100
265.0,99,100
266.0,99,100
267.0,99,100
268.0,99,100
269.0,99,100
270.0,99,100
271.0,99,100
272.0,99,100
273.0,99,100
274.0,99,100
275.0,99,100
276.0,99,100
277.0,99,100
278.0,99,100
279.0,99,100
280.0,99,100
281.0,99,100
282.0,99,100
283.0,99,100
284.0,99,100
285.0,99,100
286.0,99,100
287.0,99,100
288.0,99,100
289.0,99,100
290.0,99,100
291.0,99,100
292.0,99,100
293.0,99,100
294.0,99,100
295.0,99,100
296.0,99,100
297.0,99,100
298.0,99,100
299.0,99,100
300.0,99,100
